Year,Country,Resettled by destination per capita,Child migrants (UNICEF),Child migrants (under-20s),Asylum seekers by origin (per capita),Child migrants per capita (under-20s),Refugees by destination.1,Internal displacement (disasters),Annual internal displacements (Disaster),Asylum seekers by destination,Annual internal displacement from conflict (%),Refugees by destination (per capita),Refugees by origin (per capita),"Child migrants (UNICEF, under-18s)",Refugees by origin,Internal displacement (disaster),Emigrants,Annual internal displacement (conflict),Internal displacement share (conflict),Asylum seekers by origin,International immigrants (% population),International migrants,Internal displacement (conflict),Asylum seekers by destination (per capita),Resettled arrivals by origin (per capita),Annual internal displacement from disaster (%),Child migrants (UNDESA),Child migrants per capita (UNDESA),Net migration,Remittances cost (from),International emigrants (% population),Refugees by destination (per capita).1
2007, IDA only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008, IDA only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009, IDA only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010, IDA only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011, IDA only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012, IDA only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013, IDA only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014, IDA only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015, IDA only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016, IDA only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017, IDA only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018, IDA only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955, Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,95002.0,,,
1960, Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000.0,,,
1965, Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,250880.0,,,
1970, Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,351489.0,,,
1975, Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24999.0,,,
1980, Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,-210000.0,,,
1985, Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,-61001.0,,,
1990, Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,80000.0,,,
1995, Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,-150001.0,,,
2000, Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,-249999.0,,,
2005, Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,205000.0,,,
2010, Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,250002.0,,,
2012, Taiwan,,,,,,,,12496.0,,,,,,,,,,,,,,,,,,,,,,,
2013, Taiwan,,,,,,,,12935.0,,,,,,,,,,,,,,,,,,,,,,,
2014, Taiwan,,,,,,,,21970.0,,,,,,,,,,,,,,,,,,,,,,,
2015, Taiwan,,,,,,,,24838.0,,,,,,,,,,,,,,,,,,,,169999.0,,,
2016, Taiwan,,,,,,,,24159.0,,,,,,,,,,,,,,,,,,,,,,,
2017, Taiwan,,,,,,,,24907.0,,,,,,,,,,,,,,,,,,,,,,,
2018, Taiwan,,,,,,,,20186.0,,,,,,,,,,,,,,,,,,,,,,,
2019, Taiwan,,,,,,,,,,,,,,,600.0,,,,,,,,,,,,,,,,
2020, Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,150004.0,,,
1955, Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,10017.0,,,
1960, Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,10017.0,,,
1965, Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,25040.0,,,
1970, Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,36058.0,,,
1975, Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,120202.0,,,
1980, Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25040.0,,,
1985, Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,35062.0,,,
1990, Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,68117.0,,,
1995, Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,584095.0,,,
2000, Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,-400706.0,,,
2005, Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,-300523.0,,,
2010, Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,-500853.0,,,
2015, Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,-250435.0,,,
2020, Tanzania,,91000.0,,,,,,,,,,,,,,,,,,,,,,,,,,-200381.0,,,
2016,Abyei Area,,,,,,,,,,,,,,,,,,,,,,36779.0,,,,,,,,,
2017,Abyei Area,,,,,,,,,,,,,,,,,,,,,,38984.0,,,,,,,,,
2018,Abyei Area,,,,,,,,,,,,,,,,,,,,,,26384.0,,,,,,,,,
2019,Abyei Area,,,,,,,,,,,,,,,26000.0,,,,,,,,,,,,,,,,
1955,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20000.0,,,
1960,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20000.0,,,
1965,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20000.0,,,
1970,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20000.0,,,
1975,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20000.0,,,
1980,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1153959.0,,,
1981,Afghanistan,,,,,,,,,,,,232.557,,3063170.0,,,,,,,,,,,,,,,,,
1982,Afghanistan,,,,,,,,,,,,298.599,,3846701.0,,,,,,,,,,14.918,,,,,,,
1983,Afghanistan,,,,,,,,,,,,353.362,,4430355.0,,,,,,,,,,19.201,,,,,,,
1984,Afghanistan,,,,,,,,,,,,382.915,,4673215.0,,,,,,,,,,24.383,,,,,,,
1985,Afghanistan,,,,,,,,,,,,408.598,,4877920.0,,,,,,,,,,24.089,,,,-3345095.0,,,
1986,Afghanistan,,,,,,,,,,,,431.143,,5059969.0,,,,,,,,,,24.77,,,,,,,
1987,Afghanistan,,,,,,,,,,,,457.169,,5305237.0,,,,,,,,,,25.869,,,,,,,
1988,Afghanistan,,,,,,,,,,,,485.661,,5642417.0,,,,,,,,,,26.004,,,,,,,
1989,Afghanistan,,,,,,,,,,,,495.82,,5884821.0,,,,,,,,,,24.919,,,,,,,
1990,Afghanistan,,,17363.0,,1.399,,,,,,0.002,458.65,,5692904.0,,7679582.0,,,,0.465,57686.0,,,21.593,,11993.0,0.966,-1525351.0,,61.871,
1991,Afghanistan,,,,,,,,,,,,394.256,,5243222.0,,,,,,,,,,19.012,,,,,,,
1992,Afghanistan,,,,,,22275.0,,,,,,321.745,,4660658.0,,,,,,,,,,14.748,,,,,,,1.538
1993,Afghanistan,,,,,,26186.0,,,,,,248.389,,3928665.0,,,,,,,,,,12.006,,,,,,,1.656
1994,Afghanistan,,,,,,29934.0,,,,,,187.532,,3202252.0,,,,,,,,,,10.131,,,,,,,1.753
1995,Afghanistan,,,20802.0,,1.149,17930.0,,,,,1.083,156.105,,2827156.0,,4347049.0,,,,0.395,71522.0,,,8.895,,14421.0,0.796,3076383.0,,24.003,0.99
1996,Afghanistan,,,,,,11506.0,,,,,,142.45,,2685665.0,,,,,,,,,,8.1,,,,,,,0.61
1997,Afghanistan,,,,,,7684.0,,,,,,137.405,,2659769.0,,,,,,,,,,10.514,,,,,,,0.397
1998,Afghanistan,,,,,,,,,,,,143.958,,2841408.0,,,,,,,,,,14.58,,,,,,,
1999,Afghanistan,,,,,,,,,,,,152.126,,3068514.0,,,,,,,,,,20.333,,,,,,,
2000,Afghanistan,,,21495.0,,1.034,,,,,,,146.066,,3035238.0,,4750677.0,,,,0.365,75917.0,,,23.939,,14946.0,0.719,-867540.0,,22.862,
2001,Afghanistan,,,,,,3769.0,,,,,,135.559,,2929022.0,,,,,,,,,,26.77,,,,,,,0.174
2002,Afghanistan,,,,124.819,,,,,,,,127.941,,2891576.0,,,,,28210.0,,,,,27.282,,,,,,,
2003,Afghanistan,,,,96.942,,20.0,,,,,,110.103,,2607339.0,,,,,22956.0,,,,,26.146,,,,,,,0.001
2004,Afghanistan,,,,80.043,,26.0,,,26.0,,,91.678,,2266888.0,,,,,19792.0,,,,0.108,23.179,,,,,,,0.001
2005,Afghanistan,,,24578.0,68.877,0.958,32.0,,,25.0,,0.002,92.63,,2376360.0,,4116739.0,,,17670.0,0.34,87314.0,,0.098,20.61,,17072.0,0.665,744193.0,,16.047,0.001
2006,Afghanistan,,,,64.479,,35.0,,,13.0,,,95.175,,2515776.0,,,,,17043.0,,,,0.052,17.942,,,,,,,0.001
2007,Afghanistan,,,,72.797,,36.0,,,,,,96.319,,2610307.0,,,,,19728.0,,,,,15.716,,,,,,,0.001
2008,Afghanistan,,,,87.814,,1316.0,,,14.0,,,100.57,,2788019.0,,,,,24344.0,,,,0.051,13.179,,,,,,,0.047
2009,Afghanistan,,,,102.807,,1912.0,,,22.0,,,102.11,,2899401.0,,,,,29191.0,,,,0.078,11.155,,,,,,,0.067
2010,Afghanistan,,,28740.0,131.7,0.985,5140.0,,27076.0,31.0,,0.221,96.113,,2805097.0,,5269518.0,,,38437.0,0.35,102276.0,,0.106,10.204,0.093,19948.0,0.683,-1046361.0,,18.055,0.176
2011,Afghanistan,,,,162.227,,8505.0,,29424.0,41.0,0.34,,91.302,,2749770.0,,,102480.0,1.476,48858.0,,,444400.0,0.137,10.832,0.098,,,,,,0.282
2012,Afghanistan,,,,192.093,,68582.0,,26362.0,50.0,0.429,,86.376,,2691599.0,,,133718.0,1.752,59858.0,,,546081.0,0.161,11.224,0.085,,,,,,2.201
2013,Afghanistan,,,,322.939,,118806.0,,26352.0,59.0,0.559,,81.003,,2613918.0,,,180400.0,2.202,104211.0,,,710543.0,0.185,11.951,0.082,,,,,,3.682
2014,Afghanistan,,,,509.984,,130157.0,,27231.0,74.0,0.82,,77.353,,2581323.0,,,273719.0,2.79,170185.0,,,931084.0,0.222,13.248,0.082,,,,,,3.9
2015,Afghanistan,,,149719.0,652.423,4.351,142106.0,,26701.0,107.0,1.012,7.486,75.23,,2588949.0,,5400916.0,348417.0,3.167,224522.0,0.986,339432.0,1089981.0,0.312,13.606,0.078,123306.0,3.583,521769.0,,15.694,4.129
2016,Afghanistan,,,,767.28,,153179.0,,110757.0,151.0,1.125,,73.875,,2613906.0,,,397973.0,4.192,271486.0,,,1483360.0,0.427,12.748,0.313,,,,,,4.329
2017,Afghanistan,,,,841.562,,107541.0,,131443.0,188.0,1.264,,72.74,,2640165.0,,,458873.0,5.292,305454.0,,,1920955.0,0.52,13.282,0.362,,,,,,2.963
2018,Afghanistan,,,,810.935,,70486.0,,126423.0,206.0,1.271,,70.641,,2625872.0,,,472619.0,6.444,301440.0,,,2395465.0,0.556,11.194,0.34,,,,,,1.896
2019,Afghanistan,,,,717.35,,72977.0,3.149,,219.0,,,69.597,,2647596.0,1198000.0,,,,272892.0,,,,0.577,8.727,,,,,,,1.918
2020,Afghanistan,,54000.0,59649.0,,1.532,,2.869,,,,1.862,,1.387,,1117000.0,5853838.0,,,,0.37,144098.0,,,,,46739.0,1.201,-314602.0,,15.037,
1955,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,-609683.0,,,
1960,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,-736133.0,,,
1965,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1036680.0,,,
1970,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1312622.0,,,
1975,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1924009.0,,,
1980,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1600442.0,,,
1985,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2078952.0,,,
1990,Africa,,,5623048.0,,,,,,,,,,,,,20621464.0,,,,,15689666.0,,,,,4106698.0,,-1784980.0,,,
1995,Africa,,,5517465.0,,,,,,,,,,,,,22341394.0,,,,,16357077.0,,,,,3975063.0,,-1368269.0,,,
2000,Africa,,,4793677.0,,,,,,,,,,,,,22080003.0,,,,,15051677.0,,,,,3427175.0,,-2464494.0,,,
2005,Africa,,,4887984.0,,,,,,,,,,,,,25241406.0,,,,,16040087.0,,,,,3568688.0,,-2508171.0,,,
2010,Africa,,,5154765.0,,,,,,,,,,,,,29193852.0,,,,,17806677.0,,,,,3694026.0,,-3687038.0,,,
2015,Africa,,,6270257.0,,,,,,,,,,,,,35111959.0,,,,,22860792.0,,,,,4616829.0,,-4261285.0,,,
2020,Africa,,,6943648.0,,,,,,,,,,,,,40567163.0,,,,,25389464.0,,,,,5174447.0,,-2315121.0,,,
1979,Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955,Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99.0,,,
1960,Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99.0,,,
1961,Albania,,,,,,,,,,,,,,,,,,,,,,,,1.435,,,,,,,
1962,Albania,,,,,,,,,,,,,,,,,,,,,,,,1.381,,,,,,,
1963,Albania,,,,,,,,,,,,,,,,,,,,,,,,1.24,,,,,,,
1964,Albania,,,,,,,,,,,,,,,,,,,,,,,,1.15,,,,,,,
1965,Albania,,,,,,,,,,,,,,,,,,,,,,,,1.055,,,,-99.0,,,
1966,Albania,,,,,,,,,,,,1.869,,3640.0,,,,,,,,,,1.304,,,,,,,
1967,Albania,,,,,,,,,,,,2.24,,4478.0,,,,,,,,,,,,,,,,,
1968,Albania,,,,,,,,,,,,2.132,,4368.0,,,,,,,,,,,,,,,,,
1969,Albania,,,,,,,,,,,,1.654,,3474.0,,,,,,,,,,,,,,,,,
1970,Albania,,,,,,,,,,,,1.433,,3082.0,,,,,,,,,,,,,,-99.0,,,
1971,Albania,,,,,,,,,,,,1.215,,2676.0,,,,,,,,,,,,,,,,,
1972,Albania,,,,,,,,,,,,0.84,,1894.0,,,,,,,,,,,,,,,,,
1973,Albania,,,,,,,,,,,,0.48,,1108.0,,,,,,,,,,,,,,,,,
1974,Albania,,,,,,,,,,,,0.606,,1430.0,,,,,,,,,,,,,,,,,
1975,Albania,,,,,,,,,,,,0.566,,1366.0,,,,,,,,,,,,,,-99.0,,,
1977,Albania,,,,,,,,,,,,0.504,,1270.0,,,,,,,,,,,,,,,,,
1978,Albania,,,,,,,,,,,,0.595,,1530.0,,,,,,,,,,,,,,,,,
1979,Albania,,,,,,,,,,,,0.681,,1790.0,,,,,,,,,,,,,,,,,
1980,Albania,,,,,,,,,,,,0.641,,1719.0,,,,,,,,,,,,,,-99.0,,,
1981,Albania,,,,,,,,,,,,0.601,,1645.0,,,,,,,,,,,,,,,,,
1982,Albania,,,,,,,,,,,,0.587,,1638.0,,,,,,,,,,1.125,,,,,,,
1983,Albania,,,,,,,,,,,,0.569,,1619.0,,,,,,,,,,1.336,,,,,,,
